,哈尔滨冰雪大世界,哈尔滨融创乐园,哈尔滨中央大街,太阳岛风景区,哈尔滨极地公园,哈尔滨极地公园·极地馆,东北虎林园,哈尔滨防洪纪念塔广场,哈尔滨市人民防洪胜利纪念塔,索菲亚广场,哈尔滨音乐公园,圣·索菲亚教堂,中华巴洛克历史文化街区,斯大林公园,哈尔滨市兆麟公园,音乐长廊,江上城堡观光索道,哈尔滨市博物馆,极乐寺,黑龙江省博物馆,中东铁路桥,哈药六版画博物馆,龙塔,体育公园,俄罗斯童话博物馆,哈尔滨市儿童公园,波塞冬海底世界,东北烈士纪念馆,哈尔滨文庙,梅金肖克百年庭院,中东铁路桥头堡,哈尔滨美术馆,哈尔滨工业大学博物馆,龙江大舞台旗舰店,雅致永悦汇养生沐浴,太阳岛风景区-东北抗日联军纪念园,平房公园,哈军工纪念馆,哈尔滨伏尔加庄园,哈尔滨清滨公园投影民宿(哈尔滨工业大学店),哈尔滨群力丁香公园地铁站亚朵酒店,万达广场(哈尔滨哈西店),凯德广场·学府,万达广场(哈尔滨香坊店),万达广场(哈尔滨哈东店),杉杉奥特莱斯广场·哈尔滨,哈特购物广场,杉杉(杉杉奥特莱斯广场·哈尔滨店),金爵万象商业广场,哈尔滨西站万达广场中心桔子水晶酒店,哈尔滨记忆城市文化主题餐厅(金中环广场店),万达影城(哈尔滨香坊万达广场店),哈尔滨西站万达广场美居酒店,波波笑剧场(哈尔滨哈西万达广场店),全季酒店(哈尔滨中央大街哈站北广场店),如家酒店(哈尔滨香坊万达广场龙塔店),希岸Deluxe酒店(哈尔滨哈西高铁站万达广场店),毛毛镇音乐主题乐园,哈尔滨民俗博物馆民宿(松花江店),快乐专+(哈尔滨店),遇见汤泉,哈尔滨枫叶小镇温泉度假酒店,滨果汤泉空间,悦溪棠温泉洗浴,禧沐汤泉,银河欢乐世界温泉洗浴,浴玺湾温泉水汇,云尚汤泉洗浴会馆,亚布力良栖青云民宿,花筑·栖禧民宿(雪谷风景区店),亚布力芳源李·1897民宿,亚布力壹号别院民宿,寒酥庄园酒店(亚布力滑雪旅游度假区),亚布力梵山雪麓民宿,琪瑞酒店(哈尔滨太平国际机场店),亚布力青年雪鼎山庄,亚布力富丽山居民宿,亚布力·沁园春lce and Snow World·轻奢别墅(亚布力南站店),亚布力滑雪温泉森林别墅,野有故里设计师民宿,花筑·西柚度假民宿(哈尔滨冰雪大世界店),亚布力玖间度假别墅(滑雪旅游度假区店),亚布力友所居温泉民宿,墅云居·Travel休闲度假民宿(亚布力滑雪旅游度假区店),亚布力青云小镇清雅轩民宿,雪谷李姐温泉酒店,嘉毅客栈(中国雪谷风景区店),佰源民宿酒店(东北虎林园店),春上汤泉,亚布力滑雪旅游度假区,哈尔滨热雪奇迹,老街滋味坊(直营旗舰店),老街滋味坊(民安小区店),偏脸子哈尔滨老烧烤(自兴街店),老街滋味坊(香坊大街店),隆栎老北京炭火锅(巴陵街),老松滨饭店(菜艺街店),老牌坊云南鱼豆花火锅(大成街店),偏脸子哈尔滨老烧烤(建国北六道街店),一头牛正宗齐齐哈尔烤肉(太古街店),哈尔滨万枫酒店(中央大街火车站店),焕彩时尚宾馆(哈尔滨站中央大街店),惟景假日酒店(哈尔滨中央大街店),哈尔滨中央大街友谊路亚朵酒店,茄子青旅(中央大街店),萤火虫青年旅舍(哈尔滨中央大街索菲亚教堂店),哈尔滨染冬青年旅舍(中央大街步行街索菲亚教堂店),稻香国际青年旅舍(哈尔滨中央大街店),豪滨假日酒店(哈尔滨火车站博物馆地铁站店),滨江快捷宾馆,VIP会所(哈尔滨凯德广场店),鸿顺旅店(哈尔滨医大二院店),有房民宿(哈尔滨理工大学店),哈尔滨天吉招待所,秦泉青年旅馆(哈尔滨南岗店),哈尔滨火车站果戈里大街漫心酒店,哈尔滨天翼快捷宾馆,顺心旅店(哈尔滨海城市场店),哈尔滨合欣旅店,哈尔滨尚志旅社,顺航宾馆(哈尔滨太平国际机场店),哈尔滨香坊金沙时尚快捷宾馆,哈尔滨喜光主题小宾馆,哈尔滨金帝宾馆,自然空间休闲宾馆(哈尔滨巴洛克极乐寺店),君康日租公寓(中华巴洛克风情街店),太阳岛宾馆(太阳大道),北舍民宿(哈尔滨北岸明珠龙湾店),雅舍青旅(哈尔滨松北区融创茂店),哈尔滨太阳岛花园酒店,哈尔滨站,哈尔滨西站,哈尔滨东站,哈尔滨北站,哈尔滨太平国际机场
哈尔滨美术馆,9.74,14.87,8.04,14.34,10.87,11.13,17.2,8.04,8.06,8.59,3.25,7.61,10.65,7.66,9.21,3.19,7.45,8.8,11.11,8.61,9.0,17.16,12.56,3.33,7.61,9.86,32.7,8.6,13.97,8.01,8.95,0.0,8.82,10.38,14.24,12.22,26.91,15.49,33.99,6.49,2.38,6.6,6.92,14.18,19.9,20.94,6.72,21.5,6.34,6.43,2.21,13.28,6.83,6.49,9.6,13.98,7.31,34.51,5.53,20.09,3.8,17.03,6.07,5.6,4.42,13.12,33.46,4.81,232.45,248.75,232.74,216.91,223.99,227.71,29.55,228.97,230.28,227.51,232.05,232.39,15.61,231.97,232.09,232.05,232.16,248.89,249.63,17.36,9.86,231.98,13.26,10.6,5.4,6.45,12.19,12.24,12.85,10.86,4.6,10.53,8.57,7.68,5.5,8.4,6.81,7.85,8.35,8.33,10.06,11.56,6.64,9.03,8.99,10.09,9.99,12.4,11.25,10.7,6.54,8.55,30.78,13.38,12.27,3.63,15.77,11.03,10.29,14.39,13.57,9.87,8.84,5.97,20.65,19.54,34.68
哈尔滨工业大学博物馆,10.17,16.93,5.13,14.77,11.3,11.56,17.62,5.82,5.85,3.95,9.68,4.23,5.22,6.07,5.23,9.62,5.74,4.19,5.13,2.0,5.4,7.31,5.1,10.48,4.23,3.41,22.54,3.11,6.52,3.8,5.36,8.82,0.0,4.74,5.48,11.2,20.42,5.92,25.6,2.48,7.95,8.99,4.49,4.88,13.85,19.91,1.69,20.48,8.73,8.59,8.46,5.08,9.22,8.88,3.14,4.68,9.7,30.86,3.76,14.04,10.08,19.91,3.98,7.98,11.37,16.04,24.04,3.77,229.91,241.64,230.21,214.37,221.46,225.18,34.66,226.43,227.75,224.97,229.52,229.85,14.59,229.43,229.56,229.51,229.62,241.78,242.52,14.78,4.89,229.45,16.18,3.2,3.48,5.09,6.22,2.9,5.66,2.67,4.24,4.77,2.07,3.27,4.34,5.75,3.14,2.62,3.12,4.15,1.93,9.95,4.2,7.42,7.01,2.9,2.5,3.37,3.62,2.26,3.54,2.05,35.88,7.33,6.3,5.45,5.34,4.55,9.27,12.23,16.48,8.85,2.59,8.88,8.25,18.52,39.78
龙江大舞台旗舰店,10.29,17.04,2.57,14.88,11.41,11.67,12.98,3.08,3.1,1.8,9.59,2.21,0.85,3.63,1.38,9.53,3.31,1.62,3.27,4.1,2.37,6.33,6.18,11.59,2.2,4.72,16.83,2.08,3.72,2.68,2.32,10.38,4.74,0.0,6.71,11.25,25.52,5.61,34.61,5.42,9.31,11.27,8.12,7.32,16.28,19.01,5.11,18.92,11.01,10.87,9.53,7.52,11.5,11.16,3.96,7.12,11.98,35.96,5.73,16.48,11.4,19.96,4.16,10.25,12.69,16.09,29.14,5.09,231.67,246.74,231.97,216.13,223.21,226.93,35.98,228.19,229.51,226.73,231.28,231.61,14.63,231.19,231.31,231.27,231.38,246.88,247.61,11.19,7.73,231.21,16.23,2.85,5.06,8.72,8.65,4.56,8.09,4.09,5.6,1.52,3.1,2.81,5.74,4.54,4.42,2.19,1.94,3.15,4.85,16.9,7.83,14.35,12.1,2.59,6.12,4.55,3.74,5.99,3.6,3.08,37.2,9.77,8.74,6.79,2.01,0.64,9.32,12.28,16.54,8.9,2.64,11.35,7.92,18.57,41.1
雅致永悦汇养生沐浴,15.73,22.49,8.88,20.33,16.86,17.12,17.54,9.49,9.51,7.2,15.23,6.91,7.1,12.21,7.92,15.18,11.89,7.37,5.26,4.84,8.7,4.33,1.22,15.9,6.91,5.52,24.62,6.22,4.04,7.94,8.65,14.24,5.48,6.71,0.0,18.41,22.05,3.89,25.87,7.92,12.43,12.65,9.86,1.13,13.88,22.8,7.28,22.72,12.39,12.02,13.06,1.89,12.53,12.54,8.08,1.07,12.55,32.5,8.7,11.5,14.55,27.11,8.92,12.39,15.85,23.24,25.68,8.71,230.4,245.38,230.7,214.86,221.95,225.67,39.13,226.93,228.24,225.47,230.01,230.34,18.43,229.92,230.05,230.01,230.11,245.52,246.26,14.98,3.6,229.94,23.39,4.52,9.85,9.44,3.66,2.97,2.22,4.88,9.18,5.85,6.92,8.21,9.28,11.38,8.08,6.88,6.62,8.04,3.9,13.44,9.0,10.89,8.64,5.56,4.26,3.61,3.23,3.92,8.48,6.9,40.35,3.51,3.96,10.39,5.62,6.63,16.48,19.43,23.69,16.06,6.05,14.73,7.49,25.73,44.26
太阳岛风景区-东北抗日联军纪念园,6.43,13.62,9.5,1.5,3.11,3.37,14.32,9.49,9.52,10.06,11.43,10.29,12.11,9.22,10.68,11.38,8.9,10.27,13.8,11.97,10.46,22.85,18.24,13.43,10.29,12.83,31.42,11.29,19.66,9.48,10.42,12.22,11.2,11.25,18.41,0.0,30.51,20.23,41.14,13.64,12.53,17.19,14.12,21.33,27.05,16.42,13.88,16.98,16.93,17.02,12.75,20.43,17.42,17.08,12.23,21.13,17.17,40.95,9.96,27.24,14.56,16.41,10.15,16.19,15.78,12.54,37.99,10.27,239.6,254.57,239.9,224.06,231.14,234.86,41.46,236.12,237.44,234.66,239.21,239.54,11.1,239.12,239.24,239.2,239.31,254.71,255.45,12.85,17.01,239.13,12.69,15.07,12.68,14.72,19.34,16.99,20.01,15.4,9.71,14.97,13.03,12.15,10.44,11.57,11.73,12.3,12.8,11.5,14.66,19.59,13.84,17.06,16.21,14.56,17.14,17.15,17.87,15.45,10.98,14.53,42.68,20.53,19.42,11.88,20.52,14.2,3.31,8.73,12.99,6.15,13.31,16.42,27.8,15.03,46.58
平房公园,27.25,34.74,23.69,31.85,28.38,28.64,41.51,25.55,25.57,22.82,28.17,23.14,25.04,25.17,24.15,28.11,24.96,23.6,23.99,21.07,24.93,24.1,21.89,26.52,23.14,21.29,44.6,22.45,23.31,22.84,24.89,26.91,20.42,25.52,22.05,30.51,0.0,23.65,33.32,19.39,21.71,18.03,18.0,20.08,22.08,48.35,18.84,48.26,17.62,17.66,21.32,19.39,17.33,17.92,21.55,19.88,16.72,13.84,22.17,22.89,25.2,37.98,22.4,18.03,24.03,34.07,4.84,22.19,226.68,233.99,226.98,211.14,218.23,221.95,35.51,223.2,224.52,221.74,226.29,226.62,33.75,226.2,226.33,226.29,226.39,234.13,234.87,41.22,17.46,226.22,34.21,23.84,20.39,17.57,18.3,20.41,18.97,22.04,22.65,24.17,21.92,21.68,22.75,24.85,21.56,22.48,22.98,23.39,20.86,14.5,17.68,14.96,15.97,22.72,18.15,20.56,21.28,18.86,21.95,21.9,40.49,20.72,21.16,20.66,23.93,24.95,28.43,35.34,34.52,28.01,22.34,20.05,31.1,37.68,40.43
哈军工纪念馆,16.98,23.66,8.08,21.57,18.1,18.36,14.39,9.93,9.96,6.72,16.48,6.42,6.0,9.02,7.26,16.43,8.69,6.78,3.03,5.27,9.22,2.76,3.73,17.14,6.42,6.72,21.16,4.43,1.8,7.14,9.17,15.49,5.92,5.61,3.89,20.23,23.65,0.0,27.99,10.26,14.77,14.99,12.2,4.75,16.0,20.01,6.83,19.93,14.73,14.36,15.4,5.51,14.87,14.88,10.42,4.65,14.89,34.84,11.04,13.09,16.89,24.6,11.26,14.73,18.19,24.13,31.91,8.23,232.52,247.5,232.82,216.98,224.07,227.79,41.47,229.04,230.36,227.59,232.13,232.46,15.64,232.04,232.17,232.13,232.23,247.64,248.38,12.2,7.25,232.06,24.3,3.38,8.43,11.78,6.8,4.14,6.16,3.46,8.74,4.55,6.58,6.53,11.62,8.48,10.42,5.34,5.09,6.88,4.43,15.78,11.34,13.23,10.98,3.69,6.6,4.13,3.24,6.26,6.74,6.56,42.69,6.66,7.11,12.73,4.9,4.36,18.82,19.5,24.58,18.4,5.73,17.07,3.61,23.52,46.6
哈尔滨伏尔加庄园,37.88,49.64,29.0,42.48,39.01,39.27,41.24,36.18,36.21,27.33,43.07,27.03,31.61,35.81,28.05,43.01,35.59,27.5,34.17,24.96,28.83,25.16,25.75,41.42,27.03,25.64,42.33,26.34,28.53,28.06,28.78,33.99,25.6,34.61,25.87,41.14,33.32,27.99,0.0,29.74,33.03,33.88,29.9,27.44,13.3,46.72,29.19,46.63,33.47,34.28,33.66,20.73,33.18,33.77,31.91,27.24,32.55,51.52,32.97,13.49,35.16,53.46,33.51,34.61,36.45,49.54,33.36,31.51,212.31,245.45,212.61,196.77,203.86,207.58,59.27,208.84,210.15,207.38,211.92,212.25,42.56,211.83,211.96,211.92,212.02,245.59,246.32,38.99,27.06,211.85,49.69,29.71,30.46,30.5,24.87,30.76,20.1,28.62,32.05,34.53,32.28,32.04,33.05,35.6,31.91,32.83,31.81,35.0,31.21,29.02,29.61,30.51,30.85,29.3,28.51,30.92,31.64,29.21,32.31,32.26,60.49,24.41,24.86,30.54,34.29,35.3,37.08,40.04,49.99,36.66,26.14,35.53,27.75,46.33,64.39
哈尔滨清滨公园投影民宿(哈尔滨工业大学店),10.38,17.14,6.38,14.98,11.51,11.77,17.83,7.0,7.02,4.71,8.08,4.42,5.83,6.86,5.43,8.02,8.09,4.88,6.97,3.24,6.21,9.96,7.76,10.47,4.41,4.5,21.73,3.73,9.17,5.0,6.16,6.49,2.48,5.42,7.92,13.64,19.39,10.26,29.74,0.0,6.02,6.43,2.69,7.02,15.56,19.98,0.94,20.54,6.17,7.22,6.65,6.56,6.66,6.32,2.79,6.82,7.77,29.45,3.35,15.75,8.24,19.97,4.02,6.6,9.12,16.1,26.5,1.97,228.11,243.08,228.41,212.57,219.65,223.37,32.4,224.63,225.95,223.17,227.72,228.05,14.65,227.63,227.75,227.71,227.82,243.22,243.96,16.4,4.14,227.65,16.24,5.33,0.98,3.28,6.15,5.03,8.52,4.81,2.5,6.31,4.03,3.14,2.64,6.47,3.21,4.59,4.47,4.98,4.07,8.14,2.4,5.62,4.92,5.15,3.61,5.5,5.75,5.57,3.6,4.01,33.62,9.04,6.23,2.8,10.65,5.9,9.33,12.29,16.55,8.91,4.49,6.79,16.31,18.59,37.52
哈尔滨群力丁香公园地铁站亚朵酒店,9.27,16.02,7.56,13.87,10.4,10.65,16.72,7.57,7.59,8.12,4.35,7.37,10.17,7.19,8.74,4.29,6.97,8.33,10.88,8.72,8.52,16.87,12.27,2.71,7.37,9.9,32.23,8.36,13.68,7.54,8.48,2.38,7.95,9.31,12.43,12.53,21.71,14.77,33.03,6.02,0.0,5.47,4.56,13.3,19.02,19.74,6.44,20.3,5.21,5.29,1.46,12.4,5.7,5.36,7.32,13.11,6.18,33.97,4.45,19.22,2.49,19.17,5.97,4.47,3.71,15.25,24.54,3.91,231.57,254.82,231.87,216.03,223.12,226.84,28.93,228.1,229.41,226.64,231.18,231.51,14.42,231.09,231.22,231.18,231.28,254.96,255.7,16.17,8.99,231.11,15.4,9.78,4.66,4.17,11.32,11.63,11.98,10.04,3.53,10.85,7.75,6.86,4.61,7.21,5.99,7.02,7.52,7.14,9.3,10.03,4.28,7.5,6.63,9.27,9.59,11.78,10.43,10.08,6.57,7.73,30.16,12.51,11.4,2.33,15.16,10.44,9.1,12.05,15.7,8.68,8.02,4.59,19.78,18.35,34.06
万达广场(哈尔滨哈西店),13.93,22.74,12.23,18.53,15.06,15.32,21.39,12.23,12.26,10.82,7.95,10.26,11.67,11.86,11.28,7.89,11.64,10.73,12.81,9.33,12.05,14.69,12.49,7.08,10.26,11.17,27.57,9.57,13.9,10.67,12.01,6.6,8.99,11.27,12.65,17.19,18.03,14.99,33.88,6.43,5.47,0.0,4.17,12.25,19.06,23.62,7.35,24.18,0.42,1.44,5.71,11.45,1.0,0.11,8.38,13.19,1.48,29.33,9.38,19.25,5.0,26.02,9.61,1.62,5.79,22.1,21.74,7.49,232.13,240.31,232.43,216.59,223.68,227.39,29.5,228.65,229.97,227.19,231.74,232.07,18.29,231.65,231.77,231.73,231.84,240.45,241.19,20.04,9.02,231.67,22.25,11.67,6.84,3.75,11.35,10.82,12.02,12.46,8.09,14.59,10.04,8.91,8.23,12.06,8.8,10.6,10.06,10.63,11.27,6.58,5.03,4.06,5.02,11.16,8.57,10.98,11.7,9.28,9.19,10.02,30.73,12.54,11.43,6.43,14.35,11.49,12.97,15.93,22.55,12.55,10.08,3.07,19.81,22.23,34.63
凯德广场·学府,10.87,17.62,9.16,15.46,12.0,12.26,18.32,9.17,9.19,7.16,8.82,7.12,8.53,8.79,8.13,8.76,8.57,7.58,8.1,5.25,10.12,11.9,9.7,8.58,7.11,6.51,32.62,6.43,11.12,7.01,10.08,6.92,4.49,8.12,9.86,14.12,18.0,12.2,29.9,2.69,4.56,4.17,0.0,10.07,15.79,20.66,2.69,21.23,4.11,4.77,4.75,9.17,4.6,4.26,5.23,9.88,5.34,27.56,5.87,15.98,6.39,20.66,6.45,3.32,7.18,16.79,20.74,4.54,228.34,239.93,228.64,212.8,219.89,223.61,30.95,224.86,226.18,223.4,227.95,228.28,15.34,227.86,227.99,227.95,228.05,240.06,240.8,17.09,5.75,227.88,16.93,7.08,3.43,1.29,8.09,6.79,8.75,6.56,5.14,8.65,5.66,5.58,5.31,8.54,5.84,6.21,6.71,7.61,5.82,6.2,0.34,3.67,2.83,6.79,5.87,8.28,7.51,6.58,6.42,5.64,32.18,9.28,8.17,3.48,11.65,12.67,10.02,12.98,17.23,9.6,6.48,5.7,16.55,19.27,36.08
万达广场(哈尔滨香坊店),18.07,24.83,8.28,22.67,19.2,19.46,18.01,8.89,8.92,6.61,14.03,6.31,7.72,9.22,7.33,13.97,8.89,6.78,5.73,4.24,8.11,4.8,1.94,15.84,6.31,4.92,24.51,5.62,4.51,7.34,8.06,14.18,4.88,7.32,1.13,21.33,20.08,4.75,27.44,7.02,13.3,12.25,10.07,0.0,8.96,23.62,6.54,23.54,13.21,12.84,14.7,0.1,13.35,13.36,8.9,1.3,13.37,33.32,9.52,9.15,16.2,28.76,9.74,13.21,17.5,24.89,25.39,9.53,225.68,240.66,225.98,210.14,217.23,220.94,40.78,222.2,223.52,220.74,225.29,225.62,19.24,225.2,225.32,225.28,225.39,240.79,241.53,15.8,3.24,225.22,25.03,5.34,11.5,10.25,3.27,3.79,1.26,5.7,10.0,6.67,6.47,9.03,10.1,9.54,8.9,6.65,7.44,7.94,4.3,11.64,9.82,11.71,9.46,6.38,5.08,4.43,4.05,4.74,9.3,6.45,42.0,3.13,3.57,11.21,6.43,7.45,18.12,21.08,25.34,17.7,5.94,16.38,8.56,27.38,45.9
万达广场(哈尔滨哈东店),23.79,37.95,17.25,28.39,24.92,25.18,29.32,22.09,22.12,15.57,31.38,15.28,16.69,21.71,16.3,31.32,21.5,15.74,19.53,13.21,17.07,14.27,13.76,29.74,15.28,13.89,30.41,14.59,16.6,16.31,17.03,19.9,13.85,16.28,13.88,27.05,22.08,16.0,13.3,15.56,19.02,19.06,15.79,8.96,0.0,30.77,14.39,30.69,22.67,23.48,18.86,8.14,22.38,22.97,17.11,10.23,21.74,33.98,18.17,2.72,20.36,35.85,18.7,20.39,21.65,38.74,28.26,16.7,225.86,240.89,226.16,210.32,217.41,221.13,48.47,222.38,223.7,220.93,225.47,225.8,27.22,225.38,225.51,225.47,225.57,241.03,241.77,23.64,9.91,225.4,38.88,14.18,15.65,15.7,7.48,11.63,7.5,13.21,17.25,15.73,14.07,17.24,18.24,17.14,17.11,14.26,15.27,15.54,11.91,18.21,14.81,19.7,16.05,14.78,13.71,11.8,11.95,11.33,17.51,14.06,49.69,7.29,7.81,15.74,19.49,20.5,22.28,25.24,39.19,21.86,13.55,20.54,13.52,31.53,53.59
杉杉奥特莱斯广场·哈尔滨,14.73,12.19,18.22,17.76,14.29,14.55,14.92,18.21,18.23,18.78,20.15,19.0,18.73,17.94,19.39,20.09,17.61,18.98,19.38,20.68,19.18,23.67,22.64,20.9,19.0,21.4,12.96,19.87,19.81,18.19,19.13,20.94,19.91,19.01,22.8,16.42,48.35,20.01,46.72,19.98,19.74,23.62,20.66,23.62,30.77,0.0,20.56,0.29,23.61,23.7,19.43,27.11,24.11,23.77,18.91,24.09,23.86,61.48,16.64,32.67,21.25,11.54,16.83,22.88,21.78,13.12,58.29,16.95,261.58,271.06,261.88,246.04,253.12,256.84,47.65,258.1,259.42,256.64,261.19,261.52,10.64,261.1,261.22,261.18,261.29,271.2,271.94,12.73,23.7,261.12,11.36,20.45,19.36,21.41,26.03,22.08,26.69,20.73,16.4,18.39,19.72,18.83,17.12,18.26,18.42,18.99,20.64,18.18,21.35,26.27,20.52,23.74,22.89,20.18,23.83,22.07,21.18,22.13,17.66,21.21,48.87,27.22,26.11,18.56,18.14,19.17,16.47,9.31,12.0,13.99,20.0,23.1,21.3,3.9,52.77
哈特购物广场,10.62,17.38,5.11,15.22,11.75,12.01,18.07,6.34,6.36,4.36,9.09,4.1,5.51,6.07,5.12,9.03,5.74,4.57,5.3,2.45,5.9,9.32,6.27,8.38,4.1,3.71,21.41,3.41,5.74,4.21,5.85,6.72,1.69,5.11,7.28,13.88,18.84,6.83,29.19,0.94,6.44,7.35,2.69,6.54,14.39,20.56,0.0,22.33,6.76,6.97,6.91,5.73,7.26,6.92,3.74,5.63,7.55,31.14,4.12,14.19,9.2,21.76,4.34,6.01,10.49,17.89,25.76,4.13,228.37,240.24,228.66,212.82,219.91,223.63,33.78,224.89,226.21,223.43,227.97,228.31,16.44,227.88,228.01,227.97,228.08,240.38,241.11,18.19,3.21,227.9,18.03,4.83,1.93,3.54,5.21,4.54,6.51,4.31,3.45,6.41,3.41,3.63,4.7,6.79,3.5,3.96,4.46,5.34,3.57,8.4,2.65,5.88,7.28,4.54,2.68,5.0,5.26,3.57,3.9,3.39,35.0,6.11,5.29,3.51,9.8,6.19,11.12,14.08,18.34,10.7,4.23,7.33,9.89,20.37,38.9
杉杉(杉杉奥特莱斯广场·哈尔滨店),15.29,12.76,18.78,18.32,14.86,15.12,15.48,18.77,18.79,19.34,20.71,19.57,18.64,18.5,19.99,20.65,18.18,19.54,19.3,21.88,19.74,23.59,22.56,21.46,19.57,21.32,12.88,19.78,19.73,18.76,19.7,21.5,20.48,18.92,22.72,16.98,48.26,19.93,46.63,20.54,20.3,24.18,21.23,23.54,30.69,0.29,22.33,0.0,24.15,24.23,19.96,27.65,24.64,24.3,19.44,28.35,24.39,62.01,17.18,34.46,21.78,12.08,17.36,23.41,22.31,13.65,58.82,17.49,264.29,271.59,264.58,248.74,255.83,259.55,48.18,260.81,262.12,259.35,263.89,264.23,11.17,263.8,263.93,263.89,264.0,271.73,272.47,13.26,24.23,263.82,11.89,20.97,19.89,21.94,26.56,24.21,27.22,21.25,16.93,18.92,20.25,19.36,17.66,18.79,18.95,19.52,20.02,18.72,21.88,26.8,21.05,24.28,23.43,20.71,24.36,24.37,21.71,22.66,18.2,21.74,49.4,27.75,26.64,19.09,18.66,19.69,17.01,9.84,12.54,14.53,20.53,23.64,21.83,4.43,53.31
金爵万象商业广场,13.67,22.29,11.97,18.27,14.8,15.06,21.13,11.97,12.0,10.56,7.68,10.0,11.41,11.6,11.02,7.63,11.38,10.47,12.55,9.07,11.79,14.43,12.23,6.83,10.0,10.91,43.73,9.31,13.64,10.41,11.75,6.34,8.73,11.01,12.39,16.93,17.62,14.73,33.47,6.17,5.21,0.42,4.11,13.21,22.67,23.61,6.76,24.15,0.0,1.18,5.45,11.19,0.75,0.31,8.12,12.93,1.22,29.07,9.12,18.99,4.74,25.76,9.35,1.36,5.53,21.84,21.48,7.23,234.78,240.05,235.07,219.24,226.32,230.04,29.25,231.3,232.62,229.84,234.38,234.72,18.03,234.29,234.42,234.38,234.49,240.19,240.93,19.78,8.76,234.31,21.99,11.41,6.58,3.48,11.09,10.56,11.76,12.2,7.83,14.33,9.78,8.65,7.97,11.8,8.54,10.34,9.8,10.38,11.01,6.32,4.77,3.8,4.76,10.9,8.31,10.72,11.44,9.02,8.93,9.76,30.47,12.28,11.17,6.17,14.09,11.23,12.71,15.67,22.29,12.29,9.82,2.81,19.55,21.96,34.37
哈尔滨西站万达广场中心桔子水晶酒店,13.76,21.02,11.25,18.36,14.89,15.15,21.21,12.06,12.08,10.65,7.77,10.36,11.27,11.68,10.88,7.72,11.47,10.33,13.96,8.93,11.65,14.06,11.86,6.24,10.36,11.26,29.29,9.17,13.27,10.5,11.61,6.43,8.59,10.87,12.02,17.02,17.66,14.36,34.28,7.22,5.29,1.44,4.77,12.84,23.48,23.7,6.97,24.23,1.18,0.0,5.2,11.29,1.34,0.68,7.86,13.04,1.82,29.45,8.87,19.1,4.89,26.13,9.09,0.54,5.69,22.22,21.59,6.97,231.97,240.16,232.27,216.43,223.52,227.24,29.46,228.5,229.81,227.04,231.58,231.91,17.78,231.49,231.62,231.58,231.68,240.29,241.03,19.53,8.87,231.51,22.36,11.15,6.32,3.23,11.2,10.67,11.86,12.3,7.57,11.39,9.53,8.4,7.72,11.54,8.28,10.08,9.55,10.12,9.97,6.43,4.51,3.9,4.86,10.64,8.41,10.82,11.54,9.12,8.68,9.51,30.68,12.39,11.28,5.91,14.2,10.98,12.46,15.41,22.67,12.04,9.57,3.19,19.66,21.71,34.58
哈尔滨记忆城市文化主题餐厅(金中环广场店),9.49,14.72,7.79,14.09,10.62,10.88,16.94,7.79,7.81,8.34,3.55,8.0,10.39,7.41,8.96,3.5,7.2,8.55,11.51,9.22,8.75,17.5,12.9,2.02,8.0,10.53,32.45,8.99,14.31,7.76,8.7,2.21,8.46,9.53,13.06,12.75,21.32,15.4,33.66,6.65,1.46,5.71,4.75,14.7,18.86,19.43,6.91,19.96,5.45,5.2,0.0,12.72,7.58,7.24,9.04,13.43,8.06,35.26,4.97,19.54,3.77,17.78,5.52,6.35,5.17,13.87,34.21,4.25,231.9,249.5,232.19,216.35,223.44,227.16,30.3,228.42,229.73,226.96,231.5,231.84,14.59,231.41,231.54,231.5,231.6,249.64,250.38,16.34,9.31,231.43,14.01,10.05,4.85,5.9,11.64,11.69,12.3,10.31,4.05,10.78,8.02,7.13,4.95,7.38,6.26,7.3,7.79,7.3,9.51,11.84,6.09,9.31,8.44,9.54,9.44,11.85,10.7,10.15,5.99,8.0,31.53,12.83,11.72,3.08,15.22,10.0,9.27,12.22,14.32,8.85,8.29,6.72,20.1,18.52,35.43
万达影城(哈尔滨香坊万达广场店),17.17,23.93,8.48,21.77,18.3,18.56,18.78,9.1,9.12,6.81,15.72,6.51,7.92,9.42,7.53,15.66,9.09,6.98,6.5,4.44,8.31,5.56,2.46,14.93,6.51,5.12,27.05,5.82,5.28,7.54,8.26,13.28,5.08,7.52,1.89,20.43,19.39,5.51,20.73,6.56,12.4,11.45,9.17,0.1,8.14,27.11,5.73,27.65,11.19,11.29,12.72,0.0,11.42,12.01,9.18,1.02,10.81,29.86,9.79,10.67,14.57,27.12,10.02,13.32,15.86,23.25,24.64,9.04,225.87,240.84,226.16,210.32,217.41,221.13,39.14,222.39,223.7,220.93,225.47,225.81,21.81,225.38,225.51,225.47,225.57,240.98,241.72,23.57,2.49,225.4,23.4,6.33,9.86,10.53,1.96,3.79,1.38,5.39,11.45,7.89,6.24,7.59,10.37,9.3,9.18,6.42,7.43,7.71,4.07,10.9,8.13,9.09,9.73,6.94,3.18,3.96,3.52,3.49,7.55,6.22,40.37,3.26,2.93,9.95,6.71,7.72,16.49,19.44,23.7,16.07,5.71,14.75,11.23,25.74,44.27
